timestamp,elapsed_s,node,cpu_usage,cpu_cores,memory_usage,memory_bytes
1788862556.6279202,0.004890918731689453,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862556.6279202,0.004890918731689453,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862556.6279202,0.004890918731689453,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862557.6282256,1.0051963329315186,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862557.6282256,1.0051963329315186,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862557.6282256,1.0051963329315186,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862558.6296458,2.0066165924072266,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862558.6296458,2.0066165924072266,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862558.6296458,2.0066165924072266,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862559.6307864,3.0077571868896484,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862559.6307864,3.0077571868896484,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862559.6307864,3.0077571868896484,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862560.6321924,4.00916314125061,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862560.6321924,4.00916314125061,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862560.6321924,4.00916314125061,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862561.6340632,5.01103401184082,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862561.6340632,5.01103401184082,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862561.6340632,5.01103401184082,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862562.636161,6.013131856918335,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862562.636161,6.013131856918335,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862562.636161,6.013131856918335,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862563.6422107,7.019181489944458,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862563.6422107,7.019181489944458,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862563.6422107,7.019181489944458,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862564.644158,8.02112865447998,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862564.644158,8.02112865447998,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862564.644158,8.02112865447998,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862565.6455796,9.022550344467163,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862565.6455796,9.022550344467163,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862565.6455796,9.022550344467163,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862566.646406,10.023376703262329,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862566.646406,10.023376703262329,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862566.646406,10.023376703262329,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862567.6469285,11.02389931678772,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862567.6469285,11.02389931678772,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862567.6469285,11.02389931678772,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862568.6477327,12.02470350265503,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862568.6477327,12.02470350265503,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862568.6477327,12.02470350265503,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862569.6521876,13.029158353805542,node-0,693417360n,0.6934173600000001,6657020Ki,6816788480.0
1788862569.6521876,13.029158353805542,node-1,653602533n,0.653602533,4397460Ki,4502999040.0
1788862569.6521876,13.029158353805542,node-2,412273333n,0.412273333,3917696Ki,4011720704.0
1788862570.6561751,14.033145904541016,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862570.6561751,14.033145904541016,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862570.6561751,14.033145904541016,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862571.6681795,15.04515027999878,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862571.6681795,15.04515027999878,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862571.6681795,15.04515027999878,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862572.6721861,16.04915690422058,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862572.6721861,16.04915690422058,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862572.6721861,16.04915690422058,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862573.676152,17.053122758865356,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862573.676152,17.053122758865356,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862573.676152,17.053122758865356,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862574.6801474,18.05711817741394,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862574.6801474,18.05711817741394,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862574.6801474,18.05711817741394,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862575.6821327,19.05910348892212,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862575.6821327,19.05910348892212,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862575.6821327,19.05910348892212,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862576.684331,20.061301708221436,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862576.684331,20.061301708221436,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862576.684331,20.061301708221436,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862577.688173,21.065143823623657,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862577.688173,21.065143823623657,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862577.688173,21.065143823623657,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862578.6921859,22.069156646728516,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862578.6921859,22.069156646728516,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862578.6921859,22.069156646728516,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862579.6941936,23.07116436958313,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862579.6941936,23.07116436958313,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862579.6941936,23.07116436958313,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862580.695083,24.07205367088318,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862580.695083,24.07205367088318,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862580.695083,24.07205367088318,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862581.6963842,25.073354959487915,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862581.6963842,25.073354959487915,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862581.6963842,25.073354959487915,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862582.700191,26.07716178894043,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862582.700191,26.07716178894043,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862582.700191,26.07716178894043,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862583.7042437,27.081214427947998,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862583.7042437,27.081214427947998,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862583.7042437,27.081214427947998,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862584.7053413,28.08231210708618,node-0,6872118226n,6.872118226,7097076Ki,7267405824.0
1788862584.7053413,28.08231210708618,node-1,463693255n,0.463693255,4402816Ki,4508483584.0
1788862584.7053413,28.08231210708618,node-2,363708399n,0.363708399,3915692Ki,4009668608.0
1788862585.7061667,29.08313751220703,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862585.7061667,29.08313751220703,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862585.7061667,29.08313751220703,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862586.7081938,30.085164546966553,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862586.7081938,30.085164546966553,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862586.7081938,30.085164546966553,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862587.709369,31.086339712142944,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862587.709369,31.086339712142944,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862587.709369,31.086339712142944,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862588.7108474,32.08781814575195,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862588.7108474,32.08781814575195,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862588.7108474,32.08781814575195,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862589.7162075,33.093178272247314,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862589.7162075,33.093178272247314,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862589.7162075,33.093178272247314,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862590.7201474,34.09711813926697,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862590.7201474,34.09711813926697,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862590.7201474,34.09711813926697,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862591.7241874,35.101158142089844,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862591.7241874,35.101158142089844,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862591.7241874,35.101158142089844,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862592.7282188,36.10518956184387,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862592.7282188,36.10518956184387,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862592.7282188,36.10518956184387,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862593.7321768,37.10914754867554,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862593.7321768,37.10914754867554,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862593.7321768,37.10914754867554,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862594.7340488,38.11101961135864,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862594.7340488,38.11101961135864,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862594.7340488,38.11101961135864,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862595.73616,39.11313080787659,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862595.73616,39.11313080787659,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862595.73616,39.11313080787659,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862596.7368977,40.11386847496033,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862596.7368977,40.11386847496033,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862596.7368977,40.11386847496033,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862597.7379127,41.11488342285156,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
1788862597.7379127,41.11488342285156,node-1,634141514n,0.6341415140000001,4399284Ki,4504866816.0
1788862597.7379127,41.11488342285156,node-2,398991147n,0.39899114700000005,3916828Ki,4010831872.0
1788862598.739886,42.116856813430786,node-0,15999999999n,15.999999999000002,6886956Ki,7052242944.0
