timestamp,elapsed_s,node,cpu_usage,cpu_cores,memory_usage,memory_bytes
1788895919.0893226,0.002985239028930664,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895919.0893226,0.002985239028930664,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895919.0893226,0.002985239028930664,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895920.092178,1.00584077835083,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895920.092178,1.00584077835083,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895920.092178,1.00584077835083,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895921.0945804,2.0082430839538574,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895921.0945804,2.0082430839538574,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895921.0945804,2.0082430839538574,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895922.0961902,3.009852886199951,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895922.0961902,3.009852886199951,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895922.0961902,3.009852886199951,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895923.0978556,4.011518239974976,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895923.0978556,4.011518239974976,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895923.0978556,4.011518239974976,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895924.100217,5.013879776000977,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895924.100217,5.013879776000977,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895924.100217,5.013879776000977,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895925.1023052,6.015967845916748,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895925.1023052,6.015967845916748,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895925.1023052,6.015967845916748,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895926.1036425,7.017305135726929,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895926.1036425,7.017305135726929,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895926.1036425,7.017305135726929,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895927.1082377,8.021900415420532,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895927.1082377,8.021900415420532,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895927.1082377,8.021900415420532,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895928.1121538,9.025816440582275,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895928.1121538,9.025816440582275,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895928.1121538,9.025816440582275,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895929.1161857,10.029848337173462,node-0,660095140n,0.66009514,6856380Ki,7020933120.0
1788895929.1161857,10.029848337173462,node-1,694565648n,0.6945656480000001,4507628Ki,4615811072.0
1788895929.1161857,10.029848337173462,node-2,356085444n,0.35608544400000003,4095596Ki,4193890304.0
1788895930.1201847,11.033847332000732,node-0,6755450330n,6.75545033,7287416Ki,7462313984.0
1788895930.1201847,11.033847332000732,node-1,413484486n,0.41348448600000004,4506848Ki,4615012352.0
1788895930.1201847,11.033847332000732,node-2,375565385n,0.37556538500000003,4097524Ki,4195864576.0
1788895931.1222024,12.035865068435669,node-0,6755450330n,6.75545033,7287416Ki,7462313984.0
1788895931.1222024,12.035865068435669,node-1,413484486n,0.41348448600000004,4506848Ki,4615012352.0
1788895931.1222024,12.035865068435669,node-2,375565385n,0.37556538500000003,4097524Ki,4195864576.0
1788895932.124193,13.037855625152588,node-0,6755450330n,6.75545033,7287416Ki,7462313984.0
