experiment_id,scenario,repeat,run_id,successful_requests,retried_requests,p50_ms,p95_ms,p99_ms,max_ms,failed_requests,attempts,mean_throughput_rps,peak_throughput_rps,peak_in_flight,elapsed_s
1788850040.884902,load_average,repeat_01,1788858452.070712,3310.0,0.0,9.443475501029752,328.72715855119145,19808.061929002506,185442.4184399977,0,3310,0.9216079513918654,14.98043826570957,13,3591.548873901367
1788850040.884902,load_average,repeat_01,1788862239.082464,,,,,,,0,180,2.078629475280369,13.982175185509462,10,84.19008874893188
1788850040.884902,load_peak,repeat_01,1788850236.708044,3310.0,0.0,9.474789498199243,331.00172509657546,19780.012480228554,185438.6375729955,0,3310,0.9215915390512432,13.96768749433576,13,3591.6128346920013
1788850040.884902,load_peak,repeat_01,1788854023.544692,,,,,,,0,203,2.0471915805448595,15.981546728418891,9,97.20633959770204
1788850040.884902,no_migration,repeat_01,1788854351.804134,3310.0,0.0,9.663001503213309,331.9747583474957,19734.909482854797,185350.7687819947,0,3310,0.9216046512085192,13.991566972421102,12,3591.56173491478
1788850040.884902,no_migration,repeat_01,1788858139.684129,,,,,,,0,202,2.0452235079188097,14.974558662169786,10,97.29987907409668
1788850040.884902,tardis,repeat_01,1788862556.623029,3310.0,0.0,9.500823500275146,327.9451237016474,19781.683904243186,185481.82161099976,0,3310,0.9216101885408836,13.962835051889588,11,3591.540155649185
1788850040.884902,tardis,repeat_01,1788866344.056139,,,,,,,0,201,2.058225151536665,14.961329514202244,9,96.19938802719116
