scenario,runs,successful_requests,failed_requests,retry_rate,p50_ms,p95_ms,p99_ms,max_ms,mean_throughput_rps,peak_throughput_rps,peak_in_flight
load_average,2,3310,0,0.0,9.443475501029752,328.72715855119145,19808.061929002506,185442.4184399977,1.5001187133361173,14.98043826570957,13
load_peak,2,3310,0,0.0,9.474789498199243,331.00172509657546,19780.012480228554,185438.6375729955,1.4843915597980515,15.981546728418891,13
no_migration,2,3310,0,0.0,9.663001503213309,331.9747583474957,19734.909482854797,185350.7687819947,1.4834140795636643,14.974558662169786,12
tardis,2,3310,0,0.0,9.500823500275146,327.9451237016474,19781.683904243186,185481.82161099976,1.4899176700387744,14.961329514202244,11
