timestamp,node,cpu_pct,mem_used_mb,mem_total_mb,mem_pct,load1,load5,load15
1780364255.5525415,node-1,9.26,9533.2,257821.7,3.7,1.453,10.99,10.463
1780364255.6963038,node-0,0.44,9886.0,257821.7,3.8,3.005,9.169,6.929
1780364255.7765322,node-2,1.05,9910.8,257821.7,3.8,1.647,3.687,3.385
1780364256.5548656,node-1,0.46,9453.9,257821.7,3.7,1.453,10.99,10.463
1780364256.6995182,node-0,1.47,9883.2,257821.7,3.8,3.005,9.169,6.929
1780364256.7841878,node-2,0.84,9910.7,257821.7,3.8,1.647,3.687,3.385
1780364257.5580466,node-1,1.36,9451.6,257821.7,3.7,1.497,10.841,10.417
1780364257.7043421,node-0,1.03,9882.3,257821.7,3.8,2.765,9.017,6.891
1780364257.7880328,node-2,0.36,9910.8,257821.7,3.8,1.676,3.659,3.377
1780364258.5613227,node-1,0.41,9449.6,257821.7,3.7,1.497,10.841,10.417
1780364258.7077096,node-0,0.71,9881.1,257821.7,3.8,2.765,9.017,6.891
1780364258.7910852,node-2,1.25,9914.1,257821.7,3.8,1.676,3.659,3.377
1780364259.564443,node-1,1.58,9447.8,257821.7,3.7,1.497,10.841,10.417
1780364259.7109885,node-0,1.9,9878.8,257821.7,3.8,2.765,9.017,6.891
1780364259.7943046,node-2,0.52,9915.3,257821.7,3.8,1.676,3.659,3.377
1780364260.5672367,node-1,1.07,9447.6,257821.7,3.7,1.497,10.841,10.417
1780364260.7140942,node-0,0.73,9879.4,257821.7,3.8,2.765,9.017,6.891
1780364260.79746,node-2,1.32,9913.8,257821.7,3.8,1.676,3.659,3.377
1780364261.5705383,node-1,9.62,9537.4,257821.7,3.7,1.497,10.841,10.417
1780364261.7173288,node-0,0.28,9875.9,257821.7,3.8,2.765,9.017,6.891
1780364261.8006465,node-2,1.05,9913.6,257821.7,3.8,1.676,3.659,3.377
1780364262.5729392,node-1,9.0,9564.9,257821.7,3.7,1.376,10.661,10.361
1780364262.720401,node-0,1.03,9874.9,257821.7,3.8,2.543,8.867,6.854
1780364262.8037937,node-2,0.71,9906.2,257821.7,3.8,1.542,3.598,3.359
1780364263.575297,node-1,9.01,9567.6,257821.7,3.7,1.376,10.661,10.361
1780364263.7236667,node-0,1.32,9873.4,257821.7,3.8,2.543,8.867,6.854
1780364263.8069322,node-2,0.82,9905.4,257821.7,3.8,1.542,3.598,3.359
1780364264.5785806,node-1,10.39,9567.3,257821.7,3.7,1.376,10.661,10.361
1780364264.7261477,node-0,3.06,9880.9,257821.7,3.8,2.543,8.867,6.854
1780364264.8100653,node-2,2.14,9905.7,257821.7,3.8,1.542,3.598,3.359
1780364265.580972,node-1,11.55,9570.6,257821.7,3.7,1.376,10.661,10.361
1780364265.730449,node-0,0.45,9880.0,257821.7,3.8,2.543,8.867,6.854
1780364265.8132856,node-2,1.17,9903.5,257821.7,3.8,1.542,3.598,3.359
1780364266.584313,node-1,11.24,9572.1,257821.7,3.7,1.376,10.661,10.361
1780364266.733615,node-0,0.57,9878.2,257821.7,3.8,2.543,8.867,6.854
1780364266.816507,node-2,1.04,9907.3,257821.7,3.8,1.542,3.598,3.359
1780364267.58751,node-1,11.19,9576.7,257821.7,3.7,1.747,10.583,10.337
1780364267.736829,node-0,1.09,9875.0,257821.7,3.8,2.339,8.72,6.817
1780364267.8196955,node-2,0.48,9906.9,257821.7,3.8,1.418,3.538,3.341
1780364268.590651,node-1,10.74,9575.8,257821.7,3.7,1.747,10.583,10.337
1780364268.7401185,node-0,0.66,9875.5,257821.7,3.8,2.339,8.72,6.817
1780364268.8227203,node-2,0.86,9906.4,257821.7,3.8,1.418,3.538,3.341
1780364269.593653,node-1,10.49,9578.9,257821.7,3.7,1.747,10.583,10.337
1780364269.7433379,node-0,2.12,9864.1,257821.7,3.8,2.339,8.72,6.817
1780364269.8259323,node-2,0.73,9906.3,257821.7,3.8,1.418,3.538,3.341
1780364270.595238,node-1,11.07,9578.0,257821.7,3.7,1.747,10.583,10.337
1780364270.7465324,node-0,1.05,9861.0,257821.7,3.8,2.339,8.72,6.817
1780364270.829188,node-2,19.06,9980.4,257821.7,3.9,1.418,3.538,3.341
1780364271.5987046,node-1,11.04,9583.2,257821.7,3.7,1.747,10.583,10.337
1780364271.749702,node-0,0.43,9858.7,257821.7,3.8,2.339,8.72,6.817
1780364271.8324955,node-2,1.67,9980.2,257821.7,3.9,1.418,3.538,3.341
1780364272.6010616,node-1,10.24,9590.4,257821.7,3.7,2.168,10.523,10.319
1780364272.7528684,node-0,0.57,9857.5,257821.7,3.8,2.151,8.575,6.78
1780364272.8357587,node-2,1.04,9974.6,257821.7,3.9,1.304,3.479,3.323
1780364273.6033764,node-1,12.22,9591.2,257821.7,3.7,2.168,10.523,10.319
1780364273.7560768,node-0,0.77,9856.3,257821.7,3.8,2.151,8.575,6.78
1780364273.8381457,node-2,0.66,9973.4,257821.7,3.9,1.304,3.479,3.323
1780364274.605733,node-1,11.06,9591.1,257821.7,3.7,2.168,10.523,10.319
1780364274.7594569,node-0,1.67,9856.8,257821.7,3.8,2.151,8.575,6.78
1780364274.8414125,node-2,1.21,9971.6,257821.7,3.9,1.304,3.479,3.323
1780364275.6092706,node-1,9.55,9591.5,257821.7,3.7,2.168,10.523,10.319
1780364275.761929,node-0,0.61,9855.6,257821.7,3.8,2.151,8.575,6.78
1780364275.8446777,node-2,0.55,9969.2,257821.7,3.9,1.304,3.479,3.323
1780364276.6125455,node-1,11.16,9594.5,257821.7,3.7,2.168,10.523,10.319
1780364276.7650468,node-0,1.0,9854.5,257821.7,3.8,2.151,8.575,6.78
1780364276.8479228,node-2,1.46,9968.8,257821.7,3.9,1.304,3.479,3.323
1780364277.6149096,node-1,10.3,9594.1,257821.7,3.7,2.315,10.415,10.285
1780364277.768321,node-0,0.89,9856.0,257821.7,3.8,1.979,8.432,6.744
1780364277.85115,node-2,0.62,9968.0,257821.7,3.9,1.2,3.42,3.305
1780364278.618289,node-1,11.41,9592.6,257821.7,3.7,2.315,10.415,10.285
1780364278.7715762,node-0,1.05,9857.0,257821.7,3.8,1.979,8.432,6.744
1780364278.8542714,node-2,0.64,9960.5,257821.7,3.9,1.2,3.42,3.305
1780364279.621591,node-1,12.14,9592.9,257821.7,3.7,2.315,10.415,10.285
1780364279.7740993,node-0,3.32,9859.4,257821.7,3.8,1.979,8.432,6.744
1780364279.8574815,node-2,2.26,9960.0,257821.7,3.9,1.2,3.42,3.305
1780364280.6248248,node-1,10.59,9594.7,257821.7,3.7,2.315,10.415,10.285
1780364280.777309,node-0,0.62,9858.9,257821.7,3.8,1.979,8.432,6.744
1780364280.860779,node-2,0.73,9958.6,257821.7,3.9,1.2,3.42,3.305
1780364281.6272116,node-1,11.15,9598.4,257821.7,3.7,2.315,10.415,10.285
1780364281.78051,node-0,0.53,9854.8,257821.7,3.8,1.979,8.432,6.744
1780364281.8640223,node-2,1.48,9956.9,257821.7,3.9,1.2,3.42,3.305
1780364282.630568,node-1,11.03,9598.0,257821.7,3.7,2.69,10.358,10.267
1780364282.7837167,node-0,1.01,9854.6,257821.7,3.8,1.82,8.292,6.707
1780364282.8672616,node-2,1.89,9953.6,257821.7,3.9,1.104,3.363,3.287
1780364283.6336524,node-1,10.87,9597.7,257821.7,3.7,2.69,10.358,10.267
1780364283.7869241,node-0,0.88,9855.3,257821.7,3.8,1.82,8.292,6.707
1780364283.8702948,node-2,0.61,9953.1,257821.7,3.9,1.104,3.363,3.287
1780364284.6367447,node-1,10.78,9598.3,257821.7,3.7,2.69,10.358,10.267
1780364284.789822,node-0,1.11,9850.8,257821.7,3.8,1.82,8.292,6.707
1780364284.8734896,node-2,0.82,9951.8,257821.7,3.9,1.104,3.363,3.287
1780364285.6392107,node-1,10.6,9597.3,257821.7,3.7,2.69,10.358,10.267
1780364285.7930455,node-0,0.84,9849.0,257821.7,3.8,1.82,8.292,6.707
1780364285.8767428,node-2,0.68,9950.5,257821.7,3.9,1.104,3.363,3.287
1780364286.6424546,node-1,10.6,9595.6,257821.7,3.7,2.69,10.358,10.267
1780364286.796221,node-0,1.05,9847.7,257821.7,3.8,1.82,8.292,6.707
1780364286.8798988,node-2,1.27,9949.8,257821.7,3.9,1.104,3.363,3.287
1780364287.6456962,node-1,11.76,9598.3,257821.7,3.7,3.036,10.302,10.25
1780364287.7994072,node-0,0.81,9840.7,257821.7,3.8,1.754,8.171,6.676
1780364287.8823526,node-2,0.62,9948.8,257821.7,3.9,1.015,3.307,3.269
1780364288.6489618,node-1,9.88,9597.1,257821.7,3.7,3.036,10.302,10.25
1780364288.8025413,node-0,0.79,9840.9,257821.7,3.8,1.754,8.171,6.676
1780364288.885523,node-2,0.89,9943.7,257821.7,3.9,1.015,3.307,3.269
1780364289.6521773,node-1,13.29,9610.9,257821.7,3.7,3.036,10.302,10.25
1780364289.805732,node-0,2.32,9841.3,257821.7,3.8,1.754,8.171,6.676
1780364289.8887868,node-2,0.45,9939.1,257821.7,3.9,1.015,3.307,3.269
1780364290.6553729,node-1,11.45,9621.5,257821.7,3.7,3.036,10.302,10.25
1780364290.809027,node-0,0.98,9840.5,257821.7,3.8,1.754,8.171,6.676
1780364290.8918405,node-2,0.52,9938.2,257821.7,3.9,1.015,3.307,3.269
1780364291.6582894,node-1,10.54,9623.8,257821.7,3.7,3.036,10.302,10.25
1780364291.8123171,node-0,0.64,9839.8,257821.7,3.8,1.754,8.171,6.676
1780364291.8943655,node-2,2.01,9937.2,257821.7,3.9,1.015,3.307,3.269
1780364292.661546,node-1,11.9,9630.3,257821.7,3.7,3.674,10.313,10.254
1780364292.81559,node-0,0.86,9839.8,257821.7,3.8,1.614,8.035,6.64
1780364292.8975935,node-2,1.07,9939.6,257821.7,3.9,1.014,3.269,3.256
1780364293.6645453,node-1,9.79,9628.9,257821.7,3.7,3.674,10.313,10.254
1780364293.8187838,node-0,0.68,9839.2,257821.7,3.8,1.614,8.035,6.64
1780364293.9007125,node-2,0.59,9939.3,257821.7,3.9,1.014,3.269,3.256
1780364294.6671813,node-1,10.32,9628.7,257821.7,3.7,3.674,10.313,10.254
1780364294.821926,node-0,2.76,9845.6,257821.7,3.8,1.614,8.035,6.64
1780364294.9038336,node-2,2.74,9937.0,257821.7,3.9,1.014,3.269,3.256
1780364295.6703706,node-1,12.54,9630.6,257821.7,3.7,3.674,10.313,10.254
1780364295.8250933,node-0,0.59,9846.8,257821.7,3.8,1.614,8.035,6.64
1780364295.9070742,node-2,0.39,9936.2,257821.7,3.9,1.014,3.269,3.256
1780364296.6726658,node-1,10.71,9628.2,257821.7,3.7,3.674,10.313,10.254
1780364296.8283508,node-0,0.7,9844.8,257821.7,3.8,1.614,8.035,6.64
