timestamp,node,cpu_pct,pods,
1780436751.1489828,node-2,1.3,"{worker-60bb8c2ce1c44989-65758dd9f-b5zz8"": 0.32","[' ""worker-57d15fc6e7154e6c-687bdf5545-gqzg6"": 0.21', ' ""worker-5fb02cfeb979fec1-d4f7fb5f7-rb48n"": 0.31', ' ""worker-17c37a0fdd5d1932-6675b8d84b-6lzj5"": 0.18', ' ""worker-a25e2d58c503c1a3-8489876885-f9hcm"": 0.35', ' ""worker-0aab83a24e916a30-5cb78bcb7-sfkh9"": 0.33', ' ""kubernetes-metrics-scraper-55bc8b9b54-ghwck"": 1.49', ' ""worker-4f931629ab2497de-8566466658-pc4vg"": 0.41', ' ""worker-b5cd624f4d49f3dc-65dd77df9-mbnzc"": 0.41', ' ""worker-b81ed828cb5e7192-86867c54f4-zgh6t"": 0.42', ' ""worker-165156b067e9299a-dc4788778-2gcx9"": 0.3}""']"
1780436751.2009263,node-1,31.8,"{worker-a0ed6d33dc4622e0-55df6974fd-6pmqf"": 0.17","[' ""worker-bbc455780b7161c4-75d6c89bcd-psxq9"": 0.27', ' ""worker-80ba614b065a6836-677f97d675-vzgks"": 0.26', ' ""worker-efa202d17ba66651-5f577b59-kfwsw"": 0.27', ' ""dns-autoscaler-6d5984c657-cshkf"": 0.57}""']"
1780436751.747659,node-0,44.7,"{worker-8edcb2c8634528c6-89cc94978-9zd4h"": 0.24","[' ""worker-41b8611922a7e03f-7d6b8f85cd-blr79"": 0.27', ' ""worker-70b9cea7ca266637-86dbc88484-xvkvt"": 0.3', ' ""worker-8a9817064c66ff2f-5df5cb694c-4thl7"": 0.16', ' ""worker-96149d3ed4f00afb-55dc9bd5c4-cn4q5"": 0.24}""']"
1780436752.4088101,node-1,31.4,"{worker-8d13ca6c1e7b4541-b678976d-l6vvs"": 0.4","[' ""worker-68d84244f6a3c212-5997858946-l9cfs"": 0.23', ' ""worker-38c3814fedc3e476-5cb8d776b5-sv2pf"": 0.21', ' ""worker-f8a0e46efc7202b8-7dcdf8d4c9-fw7zg"": 0.25', ' ""worker-a9644719e5d173a2-f4d6c7549-pdt46"": 0.21', ' ""node-metrics-collector-vm8ww"": 34.26}""']"
1780436752.4296262,node-2,1.6,"{worker-b1034a4b389601e0-88f7b7d65-qsdh6"": 0.27","[' ""worker-e92487a7ec042235-744d6dd459-zt8vp"": 0.2', ' ""worker-b5450811f2226912-5564848d78-mc57x"": 0.3', ' ""calico-kube-controllers-5b566ffb7d-8tlbw"": 4.28}""']"
1780436752.9521198,node-0,40.8,"{worker-71fab9125e9dc96c-67bf76659c-76xlw"": 0.24","[' ""worker-4fd9ef036fda3832-6fd97df446-vt25m"": 0.32', ' ""worker-1de6db5cc9a0296e-6c8cd855c9-plw4p"": 0.26', ' ""worker-341a2b2b3affc84b-77959f67bd-l5x45"": 0.27', ' ""worker-4b22cc3e1988174e-5799474695-x7bpm"": 0.24', ' ""worker-9417b97516aa524c-7c84878557-q4cdx"": 0.33', ' ""worker-7958f89676bf3653-556c9b59c6-5hds4"": 0.41', ' ""worker-45adb7409f430f55-6f69bc8589-7dz7p"": 0.42', ' ""kube-apiserver-node-0"": 46.75}""']"
1780436753.5755095,node-1,32.2,"{orchestrator-7f4cb45c45-54z77"": 0.81","[' ""worker-458c67821d1d6a60-76857c9f6d-4c8c5"": 0.38', ' ""worker-1c4353c2703fb166-59f475f669-ct7wc"": 0.2', ' ""worker-f7bfe5bc8d2a37a5-74f4b98dcc-xzln5"": 0.38', ' ""worker-abee572c88a5173c-74bb4f5fdb-t8dr6"": 0.18}""']"
1780436753.6415818,node-2,1.3,"{worker-641f0f86d3d9f681-66b7fdf968-tmnd6"": 0.36","[' ""worker-a69fc53dccda5042-9d5b7595-8vhx8"": 0.31', ' ""worker-a55aa23d7c2a7c80-8c49d7cdc-p5vwt"": 0.31', ' ""worker-938e7f49544b3293-856699576f-92prq"": 0.42', ' ""worker-03e48744252ef722-5cb57fc6f4-smb6r"": 0.33', ' ""kubernetes-dashboard-798b84547b-fh8rq"": 0.4}""']"
1780436754.1219234,node-0,41.9,"{worker-a03d8277f9ec95f7-68df5b787d-xrxm6"": 0.15","[' ""worker-734272c01926d196-7d9fbc6b44-bftkn"": 215.09', ' ""worker-8ef86af9762af347-85fcb65d49-skl7k"": 0.38}""']"
1780436754.8025355,node-1,31.6,"{worker-a594f92f84072b4c-dd45c9fb6-f4vkj"": 0.24","[' ""worker-7b2c43a2bc30f6bb-57fb7969b-kcffn"": 0.34', ' ""speaker-pf5zd"": 12.89', ' ""worker-a9fd6223e00378ed-5fcd9b74ff-g9t5f"": 25464.87', ' ""worker-1573b95c039e51cc-594674c4db-ftnwn"": 0.12}""']"
