timestamp,node,cpu_pct,mem_used_mb,mem_total_mb,mem_pct,load1,load5,load15
1780303817.891943,node-1,0.87,3810.8,257840.9,1.5,0.8,6.977,7.724
1780303818.1114519,node-2,0.3,3308.0,257840.9,1.3,0.667,3.375,3.214
1780303818.253229,node-0,0.23,3593.7,257840.9,1.4,0.575,0.834,0.705
1780303818.8942,node-1,0.67,3810.5,257840.9,1.5,0.8,6.977,7.724
1780303819.1137066,node-2,0.95,3303.0,257840.9,1.3,0.667,3.375,3.214
1780303819.2548134,node-0,0.45,3593.5,257840.9,1.4,0.575,0.834,0.705
1780303819.8968444,node-1,0.4,3809.7,257840.9,1.5,0.816,6.877,7.688
1780303820.1154144,node-2,0.03,3302.1,257840.9,1.3,0.613,3.319,3.197
1780303820.2571638,node-0,0.38,3595.5,257840.9,1.4,0.689,0.854,0.712
1780303820.8989954,node-1,0.55,3795.9,257840.9,1.5,0.816,6.877,7.688
1780303821.117671,node-2,0.38,3304.4,257840.9,1.3,0.613,3.319,3.197
1780303821.2603893,node-0,0.7,3595.6,257840.9,1.4,0.689,0.854,0.712
1780303821.901268,node-1,0.7,3793.9,257840.9,1.5,0.816,6.877,7.688
1780303822.1199749,node-2,0.35,3310.1,257840.9,1.3,0.613,3.319,3.197
1780303822.262795,node-0,0.67,3594.8,257840.9,1.4,0.689,0.854,0.712
1780303822.9035866,node-1,0.33,3793.4,257840.9,1.5,0.816,6.877,7.688
1780303823.122193,node-2,0.15,3310.3,257840.9,1.3,0.613,3.319,3.197
1780303823.2651482,node-0,0.2,3593.5,257840.9,1.4,0.689,0.854,0.712
1780303823.905827,node-1,0.5,3792.4,257840.9,1.5,0.816,6.877,7.688
1780303824.1245,node-2,0.47,3309.9,257840.9,1.3,0.613,3.319,3.197
1780303824.2674572,node-0,0.8,3593.7,257840.9,1.4,0.689,0.854,0.712
1780303824.9081495,node-1,0.85,3794.6,257840.9,1.5,0.751,6.763,7.646
1780303825.1267962,node-2,0.17,3309.2,257840.9,1.3,0.804,3.313,3.195
1780303825.2698977,node-0,0.62,3593.4,257840.9,1.4,0.634,0.839,0.708
1780303825.9104493,node-1,0.49,3797.8,257840.9,1.5,0.751,6.763,7.646
1780303826.1290376,node-2,0.15,3309.2,257840.9,1.3,0.804,3.313,3.195
1780303826.2722857,node-0,0.55,3589.6,257840.9,1.4,0.634,0.839,0.708
1780303826.912005,node-1,0.7,3797.4,257840.9,1.5,0.751,6.763,7.646
1780303827.1312408,node-2,0.33,3314.3,257840.9,1.3,0.804,3.313,3.195
1780303827.2746494,node-0,0.5,3588.7,257840.9,1.4,0.634,0.839,0.708
1780303827.9144018,node-1,1.35,3798.0,257840.9,1.5,0.751,6.763,7.646
1780303828.1335573,node-2,0.33,3316.7,257840.9,1.3,0.804,3.313,3.195
