timestamp,node,cpu_pct,pods,
1780882880.4723816,node-2,1.5,"{controller-666f99f6ff-w5bm4"": 0.98","[' ""worker-a6bbb3b6d85b46b1-6cc45cb-fpxxf"": 0.17}""']"
1780882880.5807655,node-1,3.4,"{worker-d73164944f1fe92f-6c8cfb5cbc-tbw97"": 0.13}""",
1780882881.0615819,node-0,2.1,"{worker-a69fc53dccda5042-9d5b7595-s8xcv"": 0.2","[' ""worker-a55aa23d7c2a7c80-8c49d7cdc-z7c2c"": 0.16}""']"
1780882881.598734,node-2,2.1,"{speaker-rmlxt"": 24.92","[' ""worker-8a9817064c66ff2f-5df5cb694c-n6g9w"": 0.12', ' ""worker-67b406bcce86bae0-7cd7cc4f46-88w2w"": 0.25', ' ""worker-03e48744252ef722-5cb57fc6f4-rq6m8"": 0.17', ' ""worker-21e3d223c039daac-7f9588ffb-gj28h"": 0.24', ' ""worker-c79aae5f316a650e-55877fb9bb-f9fcg"": 0.2', ' ""worker-1c4353c2703fb166-59f475f669-bvbwq"": 0.2', ' ""worker-8ef86af9762af347-85fcb65d49-d66qt"": 0.24', ' ""worker-c864b7cf40f389cb-59db9bc86b-gjgkr"": 0.26', ' ""kubernetes-dashboard-798b84547b-lrk5c"": 0.18}""']"
1780882881.7088714,node-1,4.2,"{worker-38c3814fedc3e476-5cb8d776b5-47nwg"": 0.17","[' ""worker-6e42a4e8ea1df408-55f6fdb57d-rvcpj"": 0.24', ' ""worker-51dbc1cbb708f14d-84c474f885-cqqt9"": 0.19', ' ""worker-7b2c43a2bc30f6bb-57fb7969b-ztc26"": 0.26', ' ""worker-5466ca598a6b68be-66c488cc97-9dnjl"": 0.29', ' ""kube-controller-manager-node-1"": 1.78', ' ""node-metrics-collector-ss6fm"": 22.38}""']"
1780882882.16454,node-0,0.7,"{worker-4fd9ef036fda3832-6fd97df446-98hlp"": 0.16","[' ""worker-80ba614b065a6836-677f97d675-qbnqs"": 0.21', ' ""worker-7d37cefc5c5fd0c8-696f87d5c4-669f7"": 0.23', ' ""worker-4f5eafc2b3d6ead5-7c55bcff4-z2ssx"": 0.2}""']"
1780882882.7220943,node-2,0.8,"{worker-975dcb62013d897e-d447f7885-fnsz7"": 0.12","[' ""worker-71fab9125e9dc96c-67bf76659c-cppt8"": 0.12}""']"
1780882882.8206685,node-1,1.1,"{worker-dfcd50e431bff00c-5cd7dc85db-sxwlf"": 0.19}""",
1780882883.2760324,node-0,1.4,"{speaker-vjdcs"": 16.45","[' ""worker-5a214e8e45500489-7f84bf6c74-v2pkh"": 0.21', ' ""calico-node-7jp96"": 38.13}""']"
1780882883.8500764,node-2,1.5,"{worker-93b7777259b0d610-5c5679c469-674d8"": 0.24","[' ""node-metrics-collector-cdr6m"": 24.07}""']"
1780882883.9343789,node-1,1.6,"{worker-abee572c88a5173c-74bb4f5fdb-kgsvz"": 0.26","[' ""worker-e6c7bb410627e9eb-799496bdb6-xq8tf"": 0.14', ' ""kube-apiserver-node-1"": 24.25}""']"
1780882884.3768952,node-0,1.3,"{worker-1573b95c039e51cc-594674c4db-tdtx8"": 0.22","[' ""worker-530c944fe7e078ff-69fcfd9f8d-684rz"": 0.31', ' ""worker-64f056310269572d-fd9fd6c7d-ql5tk"": 0.26', ' ""kube-apiserver-node-0"": 52.65}""']"
1780882884.9704196,node-2,1.1,"{worker-efa202d17ba66651-5f577b59-5b79w"": 0.2","[' ""worker-f8a0e46efc7202b8-7dcdf8d4c9-8xzc9"": 0.28', ' ""worker-a4a3c0390fad6c1a-64d5d8b78d-mwrc5"": 0.11', ' ""kubernetes-metrics-scraper-55bc8b9b54-8cw4m"": 0.18', ' ""worker-046b5f12d0ed300f-7ddd689876-t5bb7"": 0.26', ' ""worker-06da275043bac552-589989fc9b-24hdz"": 0.22', ' ""calico-kube-controllers-5b566ffb7d-vrzpb"": 6.41}""']"
1780882885.04376,node-1,1.8,"{worker-9417b97516aa524c-7c84878557-6gwtx"": 0.26","[' ""worker-4f931629ab2497de-8566466658-7h6b7"": 0.14', ' ""worker-c8c43e1a911f29e5-5679c9b4f6-z5pfx"": 0.14', ' ""kube-proxy-qtfbh"": 0.11}""']"
1780882885.4834468,node-0,2.0,"{worker-e92487a7ec042235-744d6dd459-8vpkv"": 0.24","[' ""coredns-69db55dd76-gdhxf"": 3.35}""']"
1780882886.0986388,node-2,1.4,"{worker-57d15fc6e7154e6c-687bdf5545-gsfbf"": 0.19","[' ""worker-6139f1f15c382fa8-6c5fb68585-8mg9r"": 0.21', ' ""worker-3efeb602c2eb29e2-58bb4d67d5-k5ld6"": 0.2}""']"
1780882886.1530955,node-1,1.3,"{worker-1661c8faccd5c7ce-7589798597-fr7pz"": 0.26","[' ""worker-97b9300c3b009d6e-647df596db-cck7l"": 0.22', ' ""worker-45adb7409f430f55-6f69bc8589-kb5zz"": 0.15', ' ""worker-f0fa62feeb880620-78b4b596b7-hvs9v"": 0.28', ' ""kube-scheduler-node-1"": 2.72}""']"
1780882886.5804372,node-0,3.5,"{worker-a0ed6d33dc4622e0-55df6974fd-vl8fq"": 0.19","[' ""worker-f274d71de386ccc7-dddf69987-ss6zb"": 0.25', ' ""worker-f7bfe5bc8d2a37a5-74f4b98dcc-r6xw6"": 0.11', ' ""worker-a03d8277f9ec95f7-68df5b787d-pr9zq"": 0.18}""']"
1780882887.228273,node-2,1.5,"{worker-cebc121403bf0d9d-784d86657f-tmv82"": 0.17","[' ""worker-ca4fde7aa358b20b-c957cd74-ql9j6"": 0.28}""']"
