timestamp,node,cpu_pct,pods,
1781732168.1081543,node-0,3.0,"{worker-bc11bd0a836eb393-6755f74c46-srrnk"": 0.27","[' ""worker-c864b7cf40f389cb-98f545bf-j5vgm"": 0.27', ' ""worker-7b2c43a2bc30f6bb-75855b864c-9kkdz"": 0.37', ' ""worker-f7bfe5bc8d2a37a5-867f9c5dc4-hw672"": 0.34}""']"
1781732168.5293787,node-1,2.7,"{kube-proxy-vvt2w"": 0.11","[' ""worker-8d5a5cbc5dcaf950-795dbc5877-h8znj"": 0.36', ' ""worker-6139f1f15c382fa8-68cfdb745d-2dsnf"": 0.27', ' ""calico-node-57gmd"": 47.41}""']"
1781732168.704752,node-2,8.8,"{kube-proxy-jldfd"": 12.45","[' ""worker-abee572c88a5173c-6c446c4654-dsstm"": 0.25', ' ""worker-7e425fa87bc12971-fcfd4f7b-rtrqh"": 0.27', ' ""worker-6e42a4e8ea1df408-79c6fcc7d-tfmjn"": 0.26', ' ""nginx-proxy-node-2"": 0.31}""']"
1781732169.3071306,node-0,1.6,"{kube-proxy-5ndcm"": 10.91","[' ""worker-b81ed828cb5e7192-7bfd7c5685-8r8mz"": 0.38', ' ""worker-fcc7dff74ceb0deb-5c96f645b-kglpt"": 0.36', ' ""worker-a03d8277f9ec95f7-64cb48b585-t98pg"": 0.36', ' ""worker-4f5eafc2b3d6ead5-6c696d7b65-rc7st"": 0.2', ' ""kube-scheduler-node-0"": 3.89', ' ""calico-node-k96rn"": 48.3', ' ""kube-apiserver-node-0"": 82.97}""']"
1781732169.7278047,node-1,1.7,"{worker-e92487a7ec042235-86595c994d-tt6kl"": 0.25","[' ""worker-bb0034ea3bcbe045-5fb785466b-zqbtd"": 0.35', ' ""worker-71fab9125e9dc96c-6f5bd7bbd6-kb6xn"": 0.19', ' ""dns-autoscaler-6d5984c657-stpkv"": 0.52', ' ""metrics-server-574d47cd58-qct4v"": 3.94}""']"
1781732169.904209,node-2,0.9,"{worker-bbc455780b7161c4-6b5dd776c4-6zrhs"": 0.27","[' ""worker-458c67821d1d6a60-6fc949cdd8-xgfzq"": 0.36', ' ""worker-a83894b2184e57e7-77d48698c9-pf5tw"": 0.28', ' ""worker-4fd9ef036fda3832-5b98bfc558-kbwrg"": 0.3', ' ""worker-d929e795459178fd-7bb6489664-dq4x2"": 0.2', ' ""worker-8edcb2c8634528c6-78cdb47bf8-bcxzv"": 0.26', ' ""kubernetes-dashboard-798b84547b-j449p"": 0.36', ' ""calico-kube-controllers-5b566ffb7d-vqwlz"": 7.51}""']"
1781732170.5101964,node-0,1.5,"{worker-21e3d223c039daac-5cdb5b6c7f-hc2nb"": 0.27","[' ""worker-db6be4a997f386b3-6f7bd4fcfd-t8j4w"": 0.34', ' ""worker-c2ea3952c7a77d53-bb4557796-b7mpv"": 0.33', ' ""worker-efa202d17ba66651-65c54d6d76-7qw75"": 0.18', ' ""worker-60bb8c2ce1c44989-585f5f8f8d-8xjdw"": 0.28', ' ""orchestrator-d57c497c-87v5c"": 1.23', ' ""node-metrics-collector-2psk2"": 38.16}""']"
1781732170.929261,node-1,1.5,"{worker-1573b95c039e51cc-bcd7cd759-hls2p"": 0.16","[' ""worker-975dcb62013d897e-bf4bb4866-hrgm6"": 0.38', ' ""worker-85effaac4d59e8d2-779d7b8d97-46xw6"": 0.27', ' ""worker-38c3814fedc3e476-5bf68c8b78-gtpx8"": 0.2', ' ""kube-scheduler-node-1"": 3.31', ' ""kube-controller-manager-node-1"": 2.48}""']"
1781732171.108643,node-2,1.2,"{worker-a594f92f84072b4c-56b47dfdfd-f9vk6"": 0.28","[' ""worker-3e325e5d1375e6a6-8487599786-kfxmw"": 0.22', ' ""worker-c79aae5f316a650e-68d7565ddb-j26sw"": 0.39}""']"
1781732171.7064073,node-0,1.3,"{worker-e6c7bb410627e9eb-64d9bd9f5c-n9s6v"": 0.17","[' ""worker-1661c8faccd5c7ce-659c56686-qbjvc"": 0.36', ' ""worker-7fa05b607ae861b8-55cdc95c6b-9dwrw"": 0.38', ' ""worker-51dbc1cbb708f14d-59f44787cd-cm6nk"": 0.3', ' ""worker-b1034a4b389601e0-6cf5956dcd-2qxcg"": 0.27', ' ""coredns-69db55dd76-bqwc5"": 2.95}""']"
