timestamp,elapsed_s,node,cpu_usage,cpu_cores,memory_usage,memory_bytes
1788854351.8085067,0.004372596740722656,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854351.8085067,0.004372596740722656,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854351.8085067,0.004372596740722656,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854352.8119285,1.0077943801879883,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854352.8119285,1.0077943801879883,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854352.8119285,1.0077943801879883,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854353.8159063,2.0117721557617188,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854353.8159063,2.0117721557617188,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854353.8159063,2.0117721557617188,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854354.820026,3.0158917903900146,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854354.820026,3.0158917903900146,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854354.820026,3.0158917903900146,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854355.8215294,4.017395257949829,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854355.8215294,4.017395257949829,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854355.8215294,4.017395257949829,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854356.8240874,5.01995325088501,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854356.8240874,5.01995325088501,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854356.8240874,5.01995325088501,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854357.825072,6.020937919616699,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854357.825072,6.020937919616699,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854357.825072,6.020937919616699,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854358.8261704,7.02203631401062,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854358.8261704,7.02203631401062,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854358.8261704,7.02203631401062,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854359.82694,8.02280592918396,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854359.82694,8.02280592918396,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854359.82694,8.02280592918396,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854360.82816,9.024025917053223,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854360.82816,9.024025917053223,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854360.82816,9.024025917053223,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854361.8321872,10.028053045272827,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854361.8321872,10.028053045272827,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
1788854361.8321872,10.028053045272827,node-2,339060482n,0.339060482,3858632Ki,3951239168.0
1788854362.836168,11.032033920288086,node-0,627103631n,0.627103631,6474412Ki,6629797888.0
1788854362.836168,11.032033920288086,node-1,439068100n,0.4390681,4366548Ki,4471345152.0
