scenario,runs,successful_requests,failed_requests,retry_rate,p50_ms,p95_ms,p99_ms,max_ms,mean_throughput_rps,peak_throughput_rps,peak_in_flight
load_average,2,3310,0,0.0,9.407675985130481,296.0445128541311,19690.826712408118,185431.16667700812,1.4930603752819067,15.960117818152414,13
load_peak,2,3310,0,0.0,9.493490506429225,306.5506010512755,19779.956002595078,185326.9367750036,1.4905992174281302,15.986697775069477,13
no_migration,2,3310,0,0.0,9.96669550659135,277.2870747008708,19688.049277137263,185353.5114179831,1.4830195700860014,14.970339888459897,11
tardis,2,3310,0,0.00030211480362537764,9.602079502656125,281.64634644344915,19789.97964004223,185442.3125659814,1.4847857829653075,15.99049941908065,12
