timestamp,elapsed_s,node,cpu_usage,cpu_cores,memory_usage,memory_bytes
1788862239.0853875,0.0029239654541015625,node-0,838412542n,0.838412542,6534644Ki,6691475456.0
1788862239.0853875,0.0029239654541015625,node-1,618219646n,0.618219646,4419724Ki,4525797376.0
1788862239.0853875,0.0029239654541015625,node-2,366105054n,0.36610505400000004,4108056Ki,4206649344.0
1788862240.085573,1.0031094551086426,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862240.085573,1.0031094551086426,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862240.085573,1.0031094551086426,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862241.088177,2.00571346282959,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862241.088177,2.00571346282959,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862241.088177,2.00571346282959,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862242.0923069,3.009843349456787,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862242.0923069,3.009843349456787,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862242.0923069,3.009843349456787,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862243.0938435,4.011379957199097,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862243.0938435,4.011379957199097,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862243.0938435,4.011379957199097,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862244.096171,5.013707399368286,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862244.096171,5.013707399368286,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862244.096171,5.013707399368286,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862245.1001787,6.017715215682983,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862245.1001787,6.017715215682983,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862245.1001787,6.017715215682983,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862246.1020966,7.019633054733276,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862246.1020966,7.019633054733276,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862246.1020966,7.019633054733276,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862247.1041737,8.02171015739441,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862247.1041737,8.02171015739441,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862247.1041737,8.02171015739441,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862248.108084,9.025620460510254,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862248.108084,9.025620460510254,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862248.108084,9.025620460510254,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862249.1123397,10.029876232147217,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862249.1123397,10.029876232147217,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862249.1123397,10.029876232147217,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862250.1161628,11.03369927406311,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862250.1161628,11.03369927406311,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862250.1161628,11.03369927406311,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862251.1201541,12.03769063949585,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862251.1201541,12.03769063949585,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862251.1201541,12.03769063949585,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862252.1241503,13.041686773300171,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862252.1241503,13.041686773300171,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862252.1241503,13.041686773300171,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862253.12816,14.045696496963501,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862253.12816,14.045696496963501,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862253.12816,14.045696496963501,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862254.132409,15.049945592880249,node-0,601525966n,0.6015259660000001,6375Mi,6684672000.0
1788862254.132409,15.049945592880249,node-1,472222222n,0.472222222,4420376Ki,4526465024.0
1788862254.132409,15.049945592880249,node-2,386097318n,0.386097318,4103352Ki,4201832448.0
1788862255.1361833,16.053719758987427,node-0,12197414806n,12.197414806000001,6679872Ki,6840188928.0
1788862255.1361833,16.053719758987427,node-1,3927817163n,3.9278171630000003,4407204Ki,4512976896.0
1788862255.1361833,16.053719758987427,node-2,9461390247n,9.461390247,4247700Ki,4349644800.0
1788862256.1371822,17.054718732833862,node-0,12197414806n,12.197414806000001,6679872Ki,6840188928.0
1788862256.1371822,17.054718732833862,node-1,3927817163n,3.9278171630000003,4407204Ki,4512976896.0
1788862256.1371822,17.054718732833862,node-2,9461390247n,9.461390247,4247700Ki,4349644800.0
1788862257.1391065,18.05664300918579,node-0,12197414806n,12.197414806000001,6679872Ki,6840188928.0
1788862257.1391065,18.05664300918579,node-1,3927817163n,3.9278171630000003,4407204Ki,4512976896.0
1788862257.1391065,18.05664300918579,node-2,9461390247n,9.461390247,4247700Ki,4349644800.0
1788862258.141183,19.058719396591187,node-0,12197414806n,12.197414806000001,6679872Ki,6840188928.0
1788862258.141183,19.058719396591187,node-1,3927817163n,3.9278171630000003,4407204Ki,4512976896.0
1788862258.141183,19.058719396591187,node-2,9461390247n,9.461390247,4247700Ki,4349644800.0
1788862259.144165,20.06170153617859,node-0,12197414806n,12.197414806000001,6679872Ki,6840188928.0
1788862259.144165,20.06170153617859,node-1,3927817163n,3.9278171630000003,4407204Ki,4512976896.0
1788862259.144165,20.06170153617859,node-2,9461390247n,9.461390247,4247700Ki,4349644800.0
1788862260.1482053,21.065741777420044,node-0,12197414806n,12.197414806000001,6679872Ki,6840188928.0
1788862260.1482053,21.065741777420044,node-1,3927817163n,3.9278171630000003,4407204Ki,4512976896.0
1788862260.1482053,21.065741777420044,node-2,9461390247n,9.461390247,4247700Ki,4349644800.0
1788862261.1501787,22.067715167999268,node-0,12197414806n,12.197414806000001,6679872Ki,6840188928.0
1788862261.1501787,22.067715167999268,node-1,3927817163n,3.9278171630000003,4407204Ki,4512976896.0
1788862261.1501787,22.067715167999268,node-2,9461390247n,9.461390247,4247700Ki,4349644800.0
1788862262.1516068,23.069143295288086,node-0,12197414806n,12.197414806000001,6679872Ki,6840188928.0
1788862262.1516068,23.069143295288086,node-1,3927817163n,3.9278171630000003,4407204Ki,4512976896.0
1788862262.1516068,23.069143295288086,node-2,9461390247n,9.461390247,4247700Ki,4349644800.0
1788862263.1562135,24.073750019073486,node-0,12197414806n,12.197414806000001,6679872Ki,6840188928.0
1788862263.1562135,24.073750019073486,node-1,3927817163n,3.9278171630000003,4407204Ki,4512976896.0
1788862263.1562135,24.073750019073486,node-2,9461390247n,9.461390247,4247700Ki,4349644800.0
1788862264.1577303,25.07526683807373,node-0,12197414806n,12.197414806000001,6679872Ki,6840188928.0
1788862264.1577303,25.07526683807373,node-1,3927817163n,3.9278171630000003,4407204Ki,4512976896.0
