timestamp,node,cpu_pct,pods,
1780893888.039431,node-0,23.4,"{worker-e6c7bb410627e9eb-64d9bd9f5c-47l5v"": 0.2","[' ""worker-60bb8c2ce1c44989-585f5f8f8d-ctdks"": 0.14', ' ""speaker-4dk67"": 26.64', ' ""worker-b1034a4b389601e0-6cf5956dcd-m8dzx"": 0.25', ' ""worker-d399b29c39aafde6-5b9cd56bc-wnjzv"": 0.2', ' ""worker-8d13ca6c1e7b4541-64dfd6b499-ztdmf"": 0.19', ' ""metrics-server-574d47cd58-k5qp5"": 3.54}""']"
1780893888.5362015,node-2,1.2,"{worker-06da275043bac552-794f85d7f6-f52zx"": 0.16","[' ""nginx-proxy-node-2"": 0.15}""']"
1780893888.868735,node-1,1.8,"{worker-a55aa23d7c2a7c80-6d76687844-w2twj"": 0.28","[' ""worker-7d37cefc5c5fd0c8-6b79db6dc-nctq6"": 0.22}""']"
1780893889.1546676,node-0,32.5,"{worker-45adb7409f430f55-5454898758-dq7lf"": 0.2","[' ""worker-37a025445321ed43-669f9b9d4b-5n7gn"": 0.28', ' ""worker-7fa05b607ae861b8-55cdc95c6b-5d5sn"": 1075.25', ' ""worker-db6be4a997f386b3-6f7bd4fcfd-m7lzx"": 0.15}""']"
1780893889.6512072,node-2,1.0,"{speaker-hbcl2"": 17.84","[' ""worker-458c67821d1d6a60-6fc949cdd8-jrmx5"": 0.28', ' ""kube-proxy-vps9q"": 0.09', ' ""kubernetes-dashboard-798b84547b-z6qg6"": 0.31}""']"
1780893889.974994,node-1,1.3,"{worker-a6bbb3b6d85b46b1-66c4fcf54f-tb57q"": 0.23","[' ""worker-975dcb62013d897e-bf4bb4866-d9w22"": 0.24', ' ""worker-93c57176225d0e98-5996db775f-mpvn6"": 0.2', ' ""worker-341a2b2b3affc84b-f47989649-dndls"": 0.19', ' ""worker-e92487a7ec042235-86595c994d-wtxh7"": 0.3', ' ""worker-cebc121403bf0d9d-66f8684bfb-hdshl"": 0.21', ' ""dns-autoscaler-6d5984c657-bp2dz"": 0.57', ' ""calico-node-vhgtx"": 44.56}""']"
1780893890.2715726,node-0,31.7,"{worker-f7bfe5bc8d2a37a5-867f9c5dc4-gjpxf"": 0.27","[' ""worker-57d15fc6e7154e6c-77785f9d4b-7l7h5"": 0.11', ' ""kube-proxy-xhdb4"": 12.71}""']"
1780893890.7635193,node-2,1.3,"{worker-18ed3ca44bd1f7d4-54b87969ff-j27xv"": 0.23","[' ""worker-4dd59aea96ab30b4-858f47b88b-tcs22"": 0.12}""']"
1780893891.08558,node-1,1.1,"{worker-85effaac4d59e8d2-779d7b8d97-hcwvs"": 0.13","[' ""worker-b5450811f2226912-7997468867-ds4hc"": 0.27', ' ""worker-4f931629ab2497de-c75996879-csphd"": 0.28', ' ""worker-6139f1f15c382fa8-68cfdb745d-fw9kz"": 0.22', ' ""kube-controller-manager-node-1"": 18.13}""']"
1780893891.41553,node-0,32.0,"{worker-a9644719e5d173a2-74cc9cf98b-4n7qh"": 0.21","[' ""worker-3029b453646555d8-ff967d94d-b8szx"": 0.11', ' ""worker-96149d3ed4f00afb-7764469b77-cplcq"": 0.14}""']"
1780893891.8753786,node-2,1.4,{},
1780893892.192225,node-1,1.4,"{worker-d73164944f1fe92f-d5f66744-rbb7r"": 0.27","[' ""worker-530c944fe7e078ff-66df7d9b9c-q6xpp"": 0.26}""']"
1780893892.5340397,node-0,30.8,"{worker-c864b7cf40f389cb-98f545bf-cz2vf"": 0.26","[' ""worker-a9fd6223e00378ed-77d4987b96-zmdkh"": 0.26', ' ""worker-93b7777259b0d610-5c897f5846-qqt7r"": 0.11}""']"
1780893892.9854374,node-2,1.7,"{worker-3e325e5d1375e6a6-8487599786-lnhpt"": 0.12","[' ""worker-bc7554e7f013bbc9-5df44489b4-rt8pm"": 0.15', ' ""worker-165156b067e9299a-cb9889bb-8z8ld"": 0.28', ' ""worker-938e7f49544b3293-8698f95b77-25lgc"": 0.26}""']"
1780893893.302647,node-1,1.3,"{worker-4b22cc3e1988174e-7756bbf56d-ct9z7"": 0.19","[' ""worker-c8c43e1a911f29e5-56ccf5c49-qgnd6"": 0.22', ' ""worker-1573b95c039e51cc-bcd7cd759-zl4g2"": 0.19', ' ""worker-41b8611922a7e03f-86b98fb547-tllrg"": 0.15}""']"
1780893893.6691232,node-0,31.6,"{worker-f274d71de386ccc7-557cff9876-clls2"": 0.17","[' ""orchestrator-d57c497c-69z49"": 0.57', ' ""worker-1c4353c2703fb166-d4f59b798-twt4w"": 0.12', ' ""kube-scheduler-node-0"": 3.73}""']"
1780893894.1008716,node-2,1.8,"{worker-2709aa426c73ec15-6c886bcf5c-pgcz9"": 0.14","[' ""worker-7aa2508882a841c9-7945474ff8-d2n57"": 0.25', ' ""worker-fc4cdb6f79037e08-6b8669f4f9-4v574"": 0.24', ' ""worker-bbc455780b7161c4-6b5dd776c4-w9q5z"": 0.25', ' ""worker-7e425fa87bc12971-fcfd4f7b-9swps"": 0.1', ' ""kubernetes-metrics-scraper-55bc8b9b54-wl5w8"": 1.3}""']"
1780893894.4147484,node-1,1.4,"{worker-8fccbc5264ff823b-6c775df4fb-smkfq"": 0.3","[' ""worker-8d5a5cbc5dcaf950-795dbc5877-8ffcq"": 0.19', ' ""worker-7958f89676bf3653-6b5bcd47bf-t79vm"": 0.21', ' ""kube-scheduler-node-1"": 2.22}""']"
1780893894.7789223,node-0,30.7,"{worker-85479ef37b5dc75d-576f4bd87-qscz2"": 0.12","[' ""worker-70b9cea7ca266637-5b6b9c5c87-sg7tp"": 0.17', ' ""worker-a69fc53dccda5042-7d4bfdd6c6-kxxml"": 0.22', ' ""worker-bc11bd0a836eb393-6755f74c46-5rsfx"": 0.16', ' ""worker-b81ed828cb5e7192-7bfd7c5685-f4mhr"": 0.18', ' ""worker-51dbc1cbb708f14d-59f44787cd-n9cdl"": 0.12}""']"
1780893895.2129102,node-2,1.1,"{worker-abee572c88a5173c-6c446c4654-2qtb9"": 0.2","[' ""worker-97b9300c3b009d6e-7d6fcf4874-nf2jv"": 0.27}""']"
1780893895.5330503,node-1,2.5,"{worker-f8a0e46efc7202b8-64b7f96d84-526k6"": 0.26","[' ""worker-17c37a0fdd5d1932-6d9955d87-s2r64"": 0.17', ' ""worker-80ba614b065a6836-65dfb8499b-4dxsx"": 0.19', ' ""worker-220343d206dfebda-678b78775-gjhhq"": 0.25', ' ""worker-64f056310269572d-cbb9b79c9-fhck9"": 0.22', ' ""worker-fe016d40663e76e9-556f49db4b-654pf"": 0.27}""']"
1780893895.9035819,node-0,37.1,"{worker-a4a3c0390fad6c1a-6f5fd46dc9-qxxvb"": 0.19","[' ""worker-a03d8277f9ec95f7-64cb48b585-9jwwg"": 0.23}""']"
1780893896.3317335,node-2,1.2,"{worker-a594f92f84072b4c-56b47dfdfd-mpqwv"": 0.22","[' ""worker-a83894b2184e57e7-77d48698c9-gp694"": 0.26}""']"
1780893896.6358562,node-1,1.2,"{speaker-bfj68"": 22.29","[' ""worker-046b5f12d0ed300f-cbbd44969-gsfhj"": 0.22', ' ""node-metrics-collector-l78rp"": 10.59}""']"
1780893897.1139941,node-0,61.0,"{worker-03e48744252ef722-5799ccb989-shgrq"": 0.16","[' ""worker-4f5eafc2b3d6ead5-6c696d7b65-l7hrb"": 0.17', ' ""worker-21e3d223c039daac-5cdb5b6c7f-7bhb4"": 0.18', ' ""calico-node-wj9s8"": 33.33', ' ""kube-apiserver-node-0"": 22.66}""']"
1780893897.4473243,node-2,1.5,"{worker-ea65064e04faf35c-6496cf979b-g46kg"": 0.19","[' ""worker-8edcb2c8634528c6-78cdb47bf8-jdn5v"": 0.14', ' ""worker-5466ca598a6b68be-84cc7d4789-cc4r2"": 0.12', ' ""controller-666f99f6ff-gqnn8"": 0.84', ' ""worker-62ed48c098820db0-79687cb8b9-gjf9n"": 0.27}""']"
1780893897.7459373,node-1,1.6,"{worker-bb0034ea3bcbe045-5fb785466b-lnj76"": 0.16","[' ""worker-bc378b6d0bed3329-6bbcc49f56-dckdc"": 0.16', ' ""worker-1c5682a8e57d04d0-6d8c5ff796-wq7tr"": 0.12', ' ""worker-a0ed6d33dc4622e0-545b7475ff-wrrj7"": 0.19', ' ""worker-71fab9125e9dc96c-6f5bd7bbd6-w8p4s"": 0.2', ' ""worker-dd81ee53ae84624a-7864cc945c-qwn8h"": 0.21', ' ""worker-68d84244f6a3c212-6f4ffb97f9-8g92d"": 0.13}""']"
1780893898.233903,node-0,31.9,"{worker-0aab83a24e916a30-6dd95c7584-v8gmd"": 0.27","[' ""worker-641f0f86d3d9f681-8c686f65f-r7425"": 0.16', ' ""worker-7b2c43a2bc30f6bb-75855b864c-76f9g"": 0.26}""']"
1780893898.5548983,node-2,1.6,"{worker-8a9817064c66ff2f-75c87f75f-rllcc"": 0.3","[' ""worker-5fb02cfeb979fec1-b7964b5b5-6cp6f"": 0.18', ' ""worker-67b406bcce86bae0-5c685b4bc4-q2w7p"": 0.25', ' ""worker-d27353c8ad7c924a-588dcf95d8-bc7tl"": 0.15', ' ""worker-ca4fde7aa358b20b-59d59c8db6-vz6hq"": 0.16', ' ""worker-b5cd624f4d49f3dc-59b8c9c7f-m8n47"": 0.23', ' ""worker-734272c01926d196-dfd9f9f44-lvdns"": 0.17}""']"
1780893898.857806,node-1,2.0,{},
1780893899.3595746,node-0,30.8,"{worker-e6c7bb410627e9eb-64d9bd9f5c-47l5v"": 0.11","[' ""worker-3efeb602c2eb29e2-7ff979c898-g7sbp"": 0.19', ' ""worker-60bb8c2ce1c44989-585f5f8f8d-ctdks"": 0.12', ' ""worker-8d13ca6c1e7b4541-64dfd6b499-ztdmf"": 0.1', ' ""worker-682c50b946b6efb6-6cc4c9965f-mhdwt"": 0.26}""']"
1780893899.66574,node-2,1.0,"{worker-9417b97516aa524c-76d5d655bf-hjnrq"": 0.25","[' ""kube-proxy-vps9q"": 14.23', ' ""calico-kube-controllers-5b566ffb7d-sq4sz"": 6.11}""']"
1780893899.9691067,node-1,1.0,"{worker-a55aa23d7c2a7c80-6d76687844-w2twj"": 0.13","[' ""worker-5a214e8e45500489-5cfb9f7d4c-5s6nt"": 0.31', ' ""coredns-69db55dd76-rnr4c"": 1.68', ' ""kube-apiserver-node-1"": 45.61}""']"
1780893900.4761407,node-0,31.9,"{worker-d399b29c39aafde6-5b9cd56bc-wnjzv"": 0.11}""",
